0.01,1,0.982,-0.112
0.02,1,0.987,-0.112
0.03,1,0.987,-0.112
0.04,1,0.987,-0.112
0.05,1,0.982,-0.112
0.06,1,0.982,-0.107
0.07,1,0.987,-0.112
0.08,1,0.987,-0.112
0.09,1,0.987,-0.112
0.1,1,0.982,-0.112
0.11,1,0.982,-0.112
0.12,1,0.982,-0.112
0.13,1,0.987,-0.112
0.14,1,0.982,-0.117
0.15,1,0.982,-0.112
0.16,1,0.987,-0.112
0.17,1,0.987,-0.112
0.18,1,0.987,-0.107
0.19,1,0.982,-0.112
0.2,1,0.982,-0.112
0.21,1,0.987,-0.112
0.22,1,0.987,-0.112
0.23,1,0.987,-0.112
0.24,1,0.982,-0.112
0.25,1,0.987,-0.117
0.26,1,0.987,-0.112
0.27,1,0.982,-0.112
0.28,1,0.982,-0.112
0.29,1,0.982,-0.112
0.3,1,0.987,-0.112
0.31,1,0.987,-0.112
0.32,1,0.982,-0.112
0.33,1,0.987,-0.112
0.34,1,0.987,-0.107
0.35,1,0.987,-0.112
0.36,1,0.982,-0.112
0.37,1,0.987,-0.112
0.38,1,0.987,-0.117
0.39,1,0.987,-0.112
0.4,1,0.982,-0.112
0.41,1,0.982,-0.117
0.42,1,0.982,-0.112
0.43,1,0.987,-0.107
0.44,1,0.982,-0.117
0.45,1,0.987,-0.112
0.46,1,0.982,-0.112
0.47,1,0.987,-0.117
0.48,1,0.987,-0.112
0.49,1,0.982,-0.112
0.5,1,0.982,-0.117
0.51,1,0.982,-0.112
0.52,1,0.987,-0.112
0.53,1,0.987,-0.112
0.54,1,0.987,-0.112
0.55,1,0.987,-0.117
0.56,1,0.987,-0.117
0.57,1,0.987,-0.112
0.58,1,0.987,-0.107
0.59,1,0.987,-0.112
0.6,1,0.987,-0.112
0.61,1,0.987,-0.112
0.62,1,0.982,-0.117
0.63,1,0.987,-0.112
0.64,1,0.982,-0.107
0.65,1,0.982,-0.117
0.66,1,0.987,-0.112
0.67,1,0.982,-0.117
0.68,1,0.987,-0.112
0.69,1,0.987,-0.112
0.7,1,0.987,-0.112
0.71,1,0.987,-0.112
0.72,1,0.987,-0.112
0.73,1,0.987,-0.112
0.74,1,0.982,-0.112
0.75,1,0.987,-0.112
0.76,1,0.982,-0.112
0.77,1,0.987,-0.112
0.78,1,0.982,-0.117
0.79,1,0.987,-0.112
0.8,1,0.987,-0.112
0.81,1,0.987,-0.112
0.82,1,0.987,-0.117
0.83,1,0.987,-0.112
0.84,1,0.987,-0.117
0.85,1,0.987,-0.112
0.86,1,0.987,-0.112
0.87,1,0.987,-0.117
0.88,1,0.987,-0.112
0.89,1,0.987,-0.107
0.9,1,0.982,-0.112
0.91,1,0.987,-0.112
0.92,1,0.987,-0.112
0.93,1,0.987,-0.107
0.94,1,0.987,-0.112
0.95,1,0.987,-0.112
0.96,1,0.987,-0.112
0.97,1,0.987,-0.112
0.98,1,0.987,-0.112
0.99,1,0.987,-0.112
1,1,0.987,-0.112
1.01,1,0.987,-0.112
1.02,1,0.987,-0.112
1.03,1,0.982,-0.112
1.04,1,0.982,-0.117
1.05,1,0.982,-0.112
1.06,1,0.987,-0.112
1.07,1,0.987,-0.112
1.08,1,0.987,-0.112
1.09,1,0.987,-0.107
1.1,1,0.987,-0.107
1.11,1,0.982,-0.112
1.12,1,0.982,-0.112
1.13,1,0.987,-0.112
1.14,1,0.982,-0.112
1.15,1,0.987,-0.112
1.16,1,0.987,-0.112
1.17,1,0.987,-0.117
1.18,1,0.987,-0.112
1.19,1,0.987,-0.117
1.2,1,0.982,-0.112
1.21,1,0.987,-0.117
1.22,1,0.987,-0.112
1.23,1,0.987,-0.112
1.24,1,0.987,-0.117
1.25,1,0.987,-0.112
1.26,1,0.987,-0.112
1.27,1,0.987,-0.112
1.28,1,0.987,-0.112
1.29,1,0.987,-0.107
1.3,1,0.982,-0.112
1.31,1,0.982,-0.112
1.32,1,0.987,-0.112
1.33,0,0.987,-0.117
1.34,0,0.987,0.933
1.35,0,0.928,2.697
1.36,0,0.801,4.162
1.37,0,0.684,4.812
1.38,0,0.523,5.506
1.39,0,0.342,6.175
1.4,0,0.137,5.511
1.41,0,-0.005,4.201
1.42,0,-0.112,2.12
1.43,0,-0.147,-0.073
1.44,0,-0.142,-1.06
1.45,0,-0.107,-1.451
1.46,0,-0.059,-1.47
1.47,0,-0.02,-1.172
1.48,0,0.015,-0.684
1.49,0,0.02,-0.064
1.5,0,0.02,0.068
1.51,0,0.02,0.044
1.52,0,0.01,0.01
1.53,0,0.01,-0.073
1.54,0,0.01,-0.112
1.55,0,0.01,-0.117
1.56,0,0.01,-0.107
1.57,0,0.005,-0.112
1.58,0,0.01,-0.112
1.59,0,0.005,-0.112
1.6,0,0.005,-0.112
1.61,0,0.01,-0.112
1.62,0,0.005,-0.112
1.63,0,0.005,-0.117
1.64,0,0.005,-0.112
1.65,0,0.01,-0.107
1.66,0,0.01,-0.112
1.67,0,0.01,-0.117
1.68,0,0.01,-0.112
1.69,0,0.005,-0.112
1.7,0,0.005,-0.112
1.71,0,0.01,-0.117
1.72,0,0.005,-0.112
1.73,0,0.005,-0.112
1.74,0,0.005,-0.107
1.75,0,0.01,-0.112
1.76,0,0.005,-0.117
1.77,0,0.005,-0.117
1.78,0,0.005,-0.112
1.79,0,0.005,-0.117
1.8,0,0.01,-0.112
1.81,0,0.005,-0.112
1.82,0,0.005,-0.112
1.83,0,0.005,-0.117
1.84,0,0.005,-0.112
1.85,0,0.01,-0.112
1.86,0,0.01,-0.112
1.87,0,0.01,-0.112
1.88,0,0.01,-0.112
1.89,0,0.005,-0.107
1.9,0,0.01,-0.112
1.91,0,0.005,-0.112
1.92,0,0.005,-0.112
1.93,0,0.01,-0.112
1.94,0,0.005,-0.112
1.95,0,0.005,-0.112
1.96,0,0.005,-0.112
1.97,0,0.005,-0.112
1.98,0,0.005,-0.117
1.99,0,0.005,-0.117
2,0,0.005,-0.112
2.01,0,0.005,-0.107
2.02,0,0.005,-0.112
2.03,0,0.005,-0.107
2.04,0,0.005,-0.112
2.05,0,0.005,-0.112
2.06,0,0.005,-0.112
2.07,0,0.01,-0.112
2.08,0,0.01,-0.112
2.09,0,0.01,-0.112
2.1,0,0.005,-0.112
2.11,0,0.005,-0.112
2.12,0,0.005,-0.112
2.13,0,0.01,-0.112
2.14,0,0.01,-0.112
2.15,0,0.005,-0.112
2.16,0,0.01,-0.112
2.17,0,0.005,-0.112
2.18,0,0.005,-0.112
2.19,0,0.005,-0.112
2.2,0,0.01,-0.112
2.21,0,0.005,-0.117
2.22,0,0.01,-0.112
2.23,0,0.01,-0.117
2.24,0,0.01,-0.112
2.25,0,0.005,-0.117
2.26,0,0.005,-0.112
2.27,0,0.005,-0.112
