0.010	0.000	-0.015	-0.112
0.020	0.000	-0.015	-0.112
0.030	0.000	-0.020	-0.112
0.040	0.000	-0.015	-0.117
0.050	0.000	-0.015	-0.107
0.060	0.000	-0.015	-0.107
0.070	0.000	-0.015	-0.107
0.080	0.000	-0.015	-0.112
0.090	0.000	-0.020	-0.112
0.100	0.000	-0.015	-0.122
0.110	0.000	-0.015	-0.107
0.120	0.000	-0.015	-0.112
0.130	0.000	-0.020	-0.112
0.140	0.000	-0.015	-0.122
0.150	0.000	-0.015	-0.112
0.160	0.000	-0.015	-0.107
0.170	0.000	-0.015	-0.103
0.180	0.000	-0.015	-0.107
0.190	0.000	-0.015	-0.112
0.200	0.000	-0.015	-0.112
0.210	0.000	-0.015	-0.112
0.220	0.000	-0.015	-0.112
0.230	0.000	-0.015	-0.112
0.240	0.000	-0.015	-0.107
0.250	0.000	-0.015	-0.112
0.260	0.000	-0.015	-0.112
0.270	0.000	-0.015	-0.112
0.280	0.000	-0.015	-0.112
0.290	0.000	-0.015	-0.107
0.300	0.000	-0.015	-0.112
0.310	0.000	-0.015	-0.117
0.320	0.000	-0.015	-0.117
0.330	0.000	-0.015	-0.122
0.340	0.000	-0.015	-0.122
0.350	0.000	-0.015	-0.117
0.360	0.000	-0.015	-0.122
0.370	0.000	-0.015	-0.122
0.380	0.000	-0.010	-0.122
0.390	0.000	-0.015	-0.112
0.400	0.000	-0.015	-0.117
0.410	0.000	-0.015	-0.112
0.420	0.000	-0.015	-0.117
0.430	0.000	-0.015	-0.122
0.440	0.000	-0.015	-0.117
0.450	0.000	-0.015	-0.122
0.460	0.000	-0.015	-0.122
0.470	0.000	-0.010	-0.127
0.480	0.000	-0.010	-0.112
0.490	0.000	-0.010	-0.107
0.500	0.000	-0.010	-0.112
0.510	0.000	-0.010	-0.112
0.520	0.000	-0.015	-0.107
0.530	0.000	-0.015	-0.112
0.540	0.000	-0.010	-0.122
0.550	0.000	-0.010	-0.112
0.560	0.000	-0.010	-0.107
0.570	0.000	-0.015	-0.112
0.580	0.000	-0.010	-0.117
0.590	0.000	-0.010	-0.112
0.600	0.000	-0.010	-0.112
0.610	0.000	-0.015	-0.112
0.620	0.000	-0.010	-0.112
0.630	0.000	-0.010	-0.112
0.640	0.000	-0.010	-0.112
0.650	0.000	-0.010	-0.107
0.660	0.000	-0.015	-0.112
0.670	0.000	-0.010	-0.117
0.680	0.000	-0.010	-0.112
0.690	0.000	-0.010	-0.107
0.700	0.000	-0.010	-0.112
0.710	0.000	-0.010	-0.112
0.720	0.000	-0.010	-0.112
0.730	0.000	-0.010	-0.107
0.740	0.000	-0.010	-0.107
0.750	0.000	-0.010	-0.112
0.760	0.000	-0.010	-0.107
0.770	0.000	-0.010	-0.107
0.780	0.000	-0.010	-0.112
0.790	0.000	-0.010	-0.112
0.800	0.000	-0.010	-0.112
0.810	0.000	-0.010	-0.107
0.820	0.000	-0.010	-0.112
0.830	0.000	-0.010	-0.112
0.840	0.000	-0.010	-0.112
0.850	0.000	-0.010	-0.112
0.860	0.000	-0.005	-0.107
0.870	0.000	-0.010	-0.107
0.880	0.000	-0.010	-0.112
0.890	0.000	-0.010	-0.117
0.900	0.000	-0.010	-0.117
0.910	0.000	-0.010	-0.112
